name;category;image;rating;no_of_ratings;actual_price;discount_price
NOCXTUN 360 Degree Rotation Mini Tripod Support Stand for DSLR and Smartphones - Foldable Shockproof Lightweight Bracket f...;tv, audio & cameras;https://m.media-amazon.com/images/I/61Gvh796CgL._AC_UL320_.jpg;3.9;3;8.79;1.09
Nokia G11 Android 12 Smartphone, Dual SIM, 3-Day Battery Life, 4GB RAM + 64GB Storage, 50MP Dual AI Camera | Charcoal Grey;tv, audio & cameras;https://m.media-amazon.com/images/I/81vTfUYVyUL._AC_UL320_.jpg;3.9;121;153.99;109.99
Nokia G11 Android 12 Smartphone, Dual SIM, 3-Day Battery Life, 4GB RAM + 64GB Storage, 50MP Dual AI Camera | Lake Blue;tv, audio & cameras;https://m.media-amazon.com/images/I/8191B-uQeHL._AC_UL320_.jpg;3.9;121;153.99;109.99
Nokia G21 Android Smartphone, Dual SIM, 3-Day Battery Life, 6GB RAM + 128GB Storage, 50MP Triple AI Camera | Dusk;tv, audio & cameras;https://m.media-amazon.com/images/I/81Kw+3Gy4VL._AC_UL320_.jpg;4.0;3521;186.99;147.39
Nokia G21 Android Smartphone, Dual SIM, 3-Day Battery Life, 6GB RAM + 128GB Storage, 50MP Triple AI Camera | Nordic Blue;tv, audio & cameras;https://m.media-amazon.com/images/I/71x+m2-yb7L._AC_UL320_.jpg;4.0;3521;186.99;147.39
OnePlus 2 in 1 Type C and Micro OTG Male to USB A 3.0 Female High Speed Data Transfer for Laptop Mobiles Tablet Smartphone...;tv, audio & cameras;https://m.media-amazon.com/images/I/31rDi2KmO2L._AC_UL320_.jpg;4.1;1075;10.99;2.19
OnePlus OTG Cable OTG Adapter USB 3.0 Compatible with All C Type Supported Mobile Smartphone and Other Devices (White & Red);tv, audio & cameras;https://m.media-amazon.com/images/I/31QSXr++MOS._AC_UL320_.jpg;4.0;13;10.99;2.08
OnePlus USB 3.0 to USB Type C OTG Cable Male-Female Adapter Compatible with All C Type Supported Mobile Smartphone and Oth...;tv, audio & cameras;https://m.media-amazon.com/images/I/31JJT-yLjmL._AC_UL320_.jpg;3.5;3;10.99;1.64
OnePlus Warp Charge Type-C To Type-C Cable 100Cm, Compatible With Smartphone, Red,White;tv, audio & cameras;https://m.media-amazon.com/images/I/21k50eE8I2L._AC_UL320_.jpg;4.0;196;9.34;2.19
Original 25W Charger Super Fast Charging Charger Adapter Smartphone Charger Compatible for Samsung Galaxy S21/S21+/S21 Ult...;tv, audio & cameras;https://m.media-amazon.com/images/I/21Ir9GJdOEL._AC_UL320_.jpg;4.4;87;16.49;9.30
Osaka OS 550 Tripod 55 Inches (140 cm) with Mobile Holder and Carry Case for Smartphone & DSLR Camera Portable Lightweight...;tv, audio & cameras;https://m.media-amazon.com/images/I/61MIObPPyeL._AC_UL320_.jpg;4.4;4109;2.48;9.89
